# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Users\Andrew\OneDrive\Documents\USP\PCS3645\Novo-SmartCargo\pin_planner_novo_smartcargo_25_11.csv
# Generated on: Mon Nov 25 22:35:53 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
Eatual_1[0],Output,PIN_N9,3B,B3B_N0,2.5 V,,,,,,,,,,,,,
Eatual_1[1],Output,PIN_M8,3B,B3B_N0,2.5 V,,,,,,,,,,,,,
Eatual_1[2],Output,PIN_T14,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
Eatual_1[3],Output,PIN_P14,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
Eatual_1[4],Output,PIN_C1,2A,B2A_N0,2.5 V,,,,,,,,,,,,,
Eatual_1[5],Output,PIN_C2,2A,B2A_N0,2.5 V,,,,,,,,,,,,,
Eatual_1[6],Output,PIN_W19,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
Eatual_2[0],Output,PIN_U20,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
Eatual_2[1],Output,PIN_Y20,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
Eatual_2[2],Output,PIN_V20,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
Eatual_2[3],Output,PIN_U16,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
Eatual_2[4],Output,PIN_U15,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
Eatual_2[5],Output,PIN_Y15,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
Eatual_2[6],Output,PIN_P9,3B,B3B_N0,2.5 V,,,,,,,,,,,,,
RX,Input,PIN_C16,7A,B7A_N0,,,,,,,,,,,,,,
andarAtual_db[0],Output,PIN_AA20,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
andarAtual_db[1],Output,PIN_AB20,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
andarAtual_db[2],Output,PIN_AA19,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
andarAtual_db[3],Output,PIN_AA18,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
andarAtual_db[4],Output,PIN_AB18,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
andarAtual_db[5],Output,PIN_AA17,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
andarAtual_db[6],Output,PIN_U22,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
clock,Input,PIN_N16,5B,B5B_N0,2.5 V,,,,,,,,,,,,,
dbQuintoBitEstado,Output,PIN_L1,2A,B2A_N0,,,,,,,,,,,,,,
db_bordaSensorAtivo,Output,PIN_Y3,2A,B2A_N0,,,,,,,,,,,,,,
db_clock,Output,PIN_AA1,2A,B2A_N0,2.5 V,,,,,,,,,,,,,
db_iniciar,Output,PIN_AA2,2A,B2A_N0,2.5 V,,,,,,,,,,,,,
db_motorDescendo,Output,PIN_G11,7A,B7A_N0,,,,,,,,,,,,,,
db_motorSubindo,Output,PIN_J8,8A,B8A_N0,,,,,,,,,,,,,,
db_reset,Output,PIN_W2,2A,B2A_N0,2.5 V,,,,,,,,,,,,,
db_sensores[0],Output,PIN_M22,5B,B5B_N0,,,,,,,,,,,,,,
db_sensores[1],Output,PIN_L22,5B,B5B_N0,,,,,,,,,,,,,,
db_sensores[2],Output,PIN_P16,5A,B5A_N0,,,,,,,,,,,,,,
db_sensores[3],Output,PIN_L18,5B,B5B_N0,,,,,,,,,,,,,,
db_serial_hex_mais[0],Output,PIN_Y16,4A,B4A_N0,,,,,,,,,,,,,,
db_serial_hex_mais[1],Output,PIN_W16,4A,B4A_N0,,,,,,,,,,,,,,
db_serial_hex_mais[2],Output,PIN_Y17,4A,B4A_N0,,,,,,,,,,,,,,
db_serial_hex_mais[3],Output,PIN_V16,4A,B4A_N0,,,,,,,,,,,,,,
db_serial_hex_mais[4],Output,PIN_U17,4A,B4A_N0,,,,,,,,,,,,,,
db_serial_hex_mais[5],Output,PIN_V18,4A,B4A_N0,,,,,,,,,,,,,,
db_serial_hex_mais[6],Output,PIN_V19,4A,B4A_N0,,,,,,,,,,,,,,
db_serial_hex_menos[0],Output,PIN_Y19,4A,B4A_N0,,,,,,,,,,,,,,
db_serial_hex_menos[1],Output,PIN_AB17,4A,B4A_N0,,,,,,,,,,,,,,
db_serial_hex_menos[2],Output,PIN_AA10,3B,B3B_N0,,,,,,,,,,,,,,
db_serial_hex_menos[3],Output,PIN_Y14,4A,B4A_N0,,,,,,,,,,,,,,
db_serial_hex_menos[4],Output,PIN_V14,4A,B4A_N0,,,,,,,,,,,,,,
db_serial_hex_menos[5],Output,PIN_AB22,4A,B4A_N0,,,,,,,,,,,,,,
db_serial_hex_menos[6],Output,PIN_AB21,4A,B4A_N0,,,,,,,,,,,,,,
emergencia,Input,PIN_T13,4A,B4A_N0,,,,,,,,,,,,,,
iniciar,Input,PIN_V13,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
motorDescendoF,Output,PIN_L19,5B,B5B_N0,,,,,,,,,,,,,,
motorSubindoF,Output,PIN_K19,7A,B7A_N0,,,,,,,,,,,,,,
proxParada_db[0],Output,PIN_U21,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
proxParada_db[1],Output,PIN_V21,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
proxParada_db[2],Output,PIN_W22,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
proxParada_db[3],Output,PIN_W21,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
proxParada_db[4],Output,PIN_Y22,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
proxParada_db[5],Output,PIN_Y21,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
proxParada_db[6],Output,PIN_AA22,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
reset,Input,PIN_U13,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
sensoresNeg[0],Input,PIN_U7,3A,B3A_N0,,,,,,,,,,,,,,
sensoresNeg[1],Input,PIN_W9,3A,B3A_N0,,,,,,,,,,,,,,
sensoresNeg[2],Input,PIN_M7,3A,B3A_N0,,,,,,,,,,,,,,
sensoresNeg[3],Input,PIN_M6,3A,B3A_N0,,,,,,,,,,,,,,
